x,y,z,vx,vy,vz,t
72.2441,-24.2085,59.4017,0.360357,-0.926751,-0.106186,55.1
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
-10.35,35.7561,25.4996,-0.622282,0.712091,0.325101,26.4
-48.4164,-56.263,48.098,-0.949591,-0.21256,0.230425,50
-52.1452,-56.7521,49.4269,-0.90632,-0.0392235,0.420768,52
-10.35,35.7561,25.4996,-0.622282,0.712091,0.325101,26.4
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
-10.35,35.7561,25.4996,-0.622282,0.712091,0.325101,26.4
114.669,3.50234,80.1525,0.81965,0.182088,0.543156,74.5
114.669,3.50234,80.1525,0.81965,0.182088,0.543156,74.5
72.2441,-24.2085,59.4017,0.360357,-0.926751,-0.106186,55.1
114.669,3.50234,80.1525,0.81965,0.182088,0.543156,74.5
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
-55.7565,-57.4404,50.974,-0.889858,-0.290469,0.351824,54
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
-10.35,35.7561,25.4996,-0.622282,0.712091,0.325101,26.4
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
-10.35,35.7561,25.4996,-0.622282,0.712091,0.325101,26.4
-36.751,-53.9334,45.5984,-0.632773,-0.602656,0.486214,44
114.669,3.50234,80.1525,0.81965,0.182088,0.543156,74.5
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
114.669,3.50234,80.1525,0.81965,0.182088,0.543156,74.5
114.669,3.50234,80.1525,0.81965,0.182088,0.543156,74.5
-10.35,35.7561,25.4996,-0.622282,0.712091,0.325101,26.4
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
72.2441,-24.2085,59.4017,0.360357,-0.926751,-0.106186,55.1
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
-59.0598,-59.0722,52.502,-0.758862,-0.50989,0.405142,56
-10.35,35.7561,25.4996,-0.622282,0.712091,0.325101,26.4
114.669,3.50234,80.1525,0.81965,0.182088,0.543156,74.5
-62.073,-60.7335,54.5194,-0.740066,-0.325204,0.58868,58
-64.6503,-62.3617,57.0915,-0.550652,-0.476686,0.68524,60
114.669,3.50234,80.1525,0.81965,0.182088,0.543156,74.5
-66.3836,-64.5214,59.9621,-0.322406,-0.591327,0.739179,62
-10.35,35.7561,25.4996,-0.622282,0.712091,0.325101,26.4
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
-10.35,35.7561,25.4996,-0.622282,0.712091,0.325101,26.4
72.2441,-24.2085,59.4017,0.360357,-0.926751,-0.106186,55.1
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
-10.35,35.7561,25.4996,-0.622282,0.712091,0.325101,26.4
-10.35,35.7561,25.4996,-0.622282,0.712091,0.325101,26.4
-10.35,35.7561,25.4996,-0.622282,0.712091,0.325101,26.4
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
114.669,3.50234,80.1525,0.81965,0.182088,0.543156,74.5
-67.9897,-67.1141,62.5325,-0.468778,-0.692607,0.548218,64
-69.6335,-70.2433,64.3806,-0.354131,-0.854968,0.378974,66
114.669,3.50234,80.1525,0.81965,0.182088,0.543156,74.5
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
72.2441,-24.2085,59.4017,0.360357,-0.926751,-0.106186,55.1
-10.35,35.7561,25.4996,-0.622282,0.712091,0.325101,26.4
18.5139,2.50182,25.597,0.218512,0.168577,0.961163,16
114.669,3.50234,80.1525,0.81965,0.182088,0.543156,74.5
114.669,3.50234,80.1525,0.81965,0.182088,0.543156,74.5
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
114.669,3.50234,80.1525,0.81965,0.182088,0.543156,74.5
-10.35,35.7561,25.4996,-0.622282,0.712091,0.325101,26.4
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
-71.23,-73.6687,65.6889,-0.4055,-0.8564,0.319606,68
-10.35,35.7561,25.4996,-0.622282,0.712091,0.325101,26.4
-73.3179,-76.895,66.757,-0.621752,-0.752692,0.216516,70
114.669,3.50234,80.1525,0.81965,0.182088,0.543156,74.5
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
-76.1551,-79.5094,67.7692,-0.780826,-0.556793,0.283358,72
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
-10.35,35.7561,25.4996,-0.622282,0.712091,0.325101,26.4
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
114.669,3.50234,80.1525,0.81965,0.182088,0.543156,74.5
-10.35,35.7561,25.4996,-0.622282,0.712091,0.325101,26.4
114.669,3.50234,80.1525,0.81965,0.182088,0.543156,74.5
114.669,3.50234,80.1525,0.81965,0.182088,0.543156,74.5
114.669,3.50234,80.1525,0.81965,0.182088,0.543156,74.5
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
102.406,5.74006,68.7282,0.741653,0.366449,0.561841,66
-78.9553,-82.1632,68.7817,-0.619316,-0.752805,0.223007,74
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
-10.35,35.7561,25.4996,-0.622282,0.712091,0.325101,26.4
-10.35,35.7561,25.4996,-0.622282,0.712091,0.325101,26.4
-10.35,35.7561,25.4996,-0.622282,0.712091,0.325101,26.4
72.2441,-24.2085,59.4017,0.360357,-0.926751,-0.106186,55.1
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
-10.35,35.7561,25.4996,-0.622282,0.712091,0.325101,26.4
72.2441,-24.2085,59.4017,0.360357,-0.926751,-0.106186,55.1
-10.35,35.7561,25.4996,-0.622282,0.712091,0.325101,26.4
-81.0254,-85.4967,69.4966,-0.419754,-0.897285,0.1367,76
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
-33.3475,-52.7435,43.2893,-0.53678,-0.803504,0.257385,42
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
-10.35,35.7561,25.4996,-0.622282,0.712091,0.325101,26.4
-10.35,35.7561,25.4996,-0.622282,0.712091,0.325101,26.4
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
-10.35,35.7561,25.4996,-0.622282,0.712091,0.325101,26.4
-10.35,35.7561,25.4996,-0.622282,0.712091,0.325101,26.4
-82.2873,-89.1738,70.3889,-0.217658,-0.929149,0.298843,78
114.669,3.50234,80.1525,0.81965,0.182088,0.543156,74.5
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
114.669,3.50234,80.1525,0.81965,0.182088,0.543156,74.5
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
114.669,3.50234,80.1525,0.81965,0.182088,0.543156,74.5
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
-10.35,35.7561,25.4996,-0.622282,0.712091,0.325101,26.4
114.669,3.50234,80.1525,0.81965,0.182088,0.543156,74.5
-83.3123,-92.7341,71.8904,-0.265748,-0.879729,0.394279,80
-10.35,35.7561,25.4996,-0.622282,0.712091,0.325101,26.4
-10.35,35.7561,25.4996,-0.622282,0.712091,0.325101,26.4
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
-10.35,35.7561,25.4996,-0.622282,0.712091,0.325101,26.4
-84.8168,-95.9825,73.6492,-0.471933,-0.742067,0.476042,82
114.669,3.50234,80.1525,0.81965,0.182088,0.543156,74.5
-87.0587,-98.9279,75.135,-0.634564,-0.723156,0.272715,84
-89.2993,-102.051,76.2322,-0.541173,-0.794835,0.274534,86
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
-10.35,35.7561,25.4996,-0.622282,0.712091,0.325101,26.4
114.669,3.50234,80.1525,0.81965,0.182088,0.543156,74.5
-10.35,35.7561,25.4996,-0.622282,0.712091,0.325101,26.4
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
114.669,3.50234,80.1525,0.81965,0.182088,0.543156,74.5
-86.2001,-99.1177,75.6903,-0.22791,-0.813051,0.535728,84
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
72.2441,-24.2085,59.4017,0.360357,-0.926751,-0.106186,55.1
-91.7296,-104.876,77.6543,-0.661076,-0.618368,0.424971,88
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
-10.35,35.7561,25.4996,-0.622282,0.712091,0.325101,26.4
-10.35,35.7561,25.4996,-0.622282,0.712091,0.325101,26.4
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
114.669,3.50234,80.1525,0.81965,0.182088,0.543156,74.5
114.669,3.50234,80.1525,0.81965,0.182088,0.543156,74.5
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
-10.35,35.7561,25.4996,-0.622282,0.712091,0.325101,26.4
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
-10.35,35.7561,25.4996,-0.622282,0.712091,0.325101,26.4
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
-10.35,35.7561,25.4996,-0.622282,0.712091,0.325101,26.4
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
114.669,3.50234,80.1525,0.81965,0.182088,0.543156,74.5
